AUC, CI, Site, Model
0.6264, 0.5767-0.6761, Site1, 1
0.5892, 0.524-0.6545, Site2, 1
0.6951, 0.6463-0.744, Site1, 2
0.6971, 0.6283-0.766, Site2, 2
0.7253, 0.6767-0.774, Site1, 3
0.726, 0.661-0.791, Site2, 3
0.7514, 0.7052-0.7975, Site1, 4
0.7101, 0.6419-0.7783, Site2, 4
0.7755, 0.7305-0.8206, Site1, 5
0.7792, 0.7149-0.8435, Site2, 5
0.7441, 0.6966-0.7916, Site1, 6
0.7581, 0.6869-0.8293, Site2, 6
0.7186, 0.6696-0.7675, Site1, 7
0.7411, 0.6645-0.8177, Site2, 7
0.7108, 0.6612-0.7604, Site1, 8
0.7433, 0.6677-0.8188, Site2, 8
0.7057, 0.6568-0.7546, Site1, 9
0.7391, 0.6613-0.8168, Site2, 9
