"var","imp","rank"
"Lab_H","121.274797031257",1
"Age","112.641257485854",2
"Lab_B","101.560884639726",3
"Lab_K","98.7970267430695",4
"Vital_E","93.0340885409786",5
"Lab_I","81.1335618457039",6
"Vital_B","73.0045219696995",7
"Lab_A","66.0334616429018",8
"Lab_J","65.7936867431184",9
"Vital_D","63.1253688719655",10
"Lab_M","62.8179830792478",11
"Lab_D","61.2156123533489",12
"Vital_C","60.4676629658903",13
"Vital_F","60.1749159509899",14
"Lab_C","57.0530692058327",15
"Lab_L","56.140172258235",16
"Lab_F","55.108181019692",17
"Lab_E","54.1807221645709",18
"Lab_G","41.9179935167172",19
"Vital_G","40.5042421752837",20
