"","V1"
"Age[49,58)",0.462407218938419
"Age[58,67)",0.977177846334774
"Age[67,76)",1.3028105230055
"Age[76,)",1.92711373278596
"Vital_E[15,18)",0.480416507449452
"Vital_E[18,20)",0.763758926955637
"Vital_E[20,22)",1.00735906238073
"Vital_E[22,)",1.48030612746544
"Lab_H[1,2)",0.479523100022168
"Lab_H[2,3)",0.930373027728827
"Lab_H[3,)",1.52516034602556
"Lab_K[20,30)",0.681500221588122
"Lab_K[30,42)",0.881130453961576
"Lab_K[42,)",1.31910033228663
"Lab_K[8,20)",0.329077394487278
"Lab_B[11,13)",0.241602216386176
"Lab_B[13,15)",0.575354342783659
"Lab_B[15,17)",0.680991066479495
"Lab_B[17,)",1.04651937104881
"Vital_A[72,81)",0.410764965554215
"Vital_A[81,89)",0.568970773513791
"Vital_A[89,98)",0.774255127934576
"Vital_A[98,)",1.05070602363172
"Lab_G[11,13)",-0.469696022383853
"Lab_G[13,)",-0.781790321930517
"Lab_G[9,11)",-0.133611127941041
"Lab_M[10,14)",0.203182675261622
"Lab_M[14,19)",0.315942310874252
"Lab_M[19,)",0.483330247050991
"Lab_M[4,10)",0.172203011437013
"Vital_C[52,58)",-0.274446862523138
"Vital_C[58,64)",-0.552391783799458
"Vital_C[64,70)",-0.698537426620915
"Vital_C[70,)",-0.810486043609224
"Lab_F[28,31)",-0.124090735930472
"Lab_F[31,34)",-0.0170090374810352
"Lab_F[34,37)",0.0650527858485103
"Lab_F[37,)",0.115656798840995
"Vital_B[105,115)",-0.221912602809341
"Vital_B[115,123)",-0.401620118219316
"Vital_B[123,133)",-0.587507913182128
"Vital_B[133,)",-0.877966333919947
"Lab_C[20,23)",-0.0682251605728227
"Lab_C[23,25)",-0.104982856199716
"Lab_C[25,28)",-0.0420104237391791
"Lab_C[28,)",-0.07878489490227
"Vital_D[69,75)",0.31315987780943
"Vital_D[75,81)",0.463714797425646
"Vital_D[81,87)",0.735212250931262
"Vital_D[87,)",0.777168649756314
"Vital_G[95,97)",-0.0651547351558649
"Vital_G[97,98)",-0.101804050743658
"Vital_G[98,99)",-0.159879166987312
"Vital_G[99,)",-0.129543622916854
"Lab_J[4,5)",-0.315706314861416
"Lab_J[5,)",-0.560909273725896
