"var","imp","rank"
"Age","0.160563931084713",1
"Vital_E","0.146352724554159",2
"Lab_H","0.131389545170673",3
"Lab_K","0.124299115641997",4
"Lab_B","0.0641281311993547",5
"Vital_A","0.0565662582431798",6
"Lab_G","0.0226285824210305",7
"Lab_M","0.0217538721731622",8
"Vital_C","0.0180228716686998",9
"Lab_F","0.0160936291200798",10
"Vital_B","0.0155392089930948",11
"Lab_C","0.0145847243988931",12
"Vital_D","0.0107303297078752",13
"Vital_G","0.00912934628587765",14
"Lab_D","0.00832767546161792",15
"Lab_J","0.00828016957272732",16
"Vital_F","0.00772453650458895",17
"Lab_E","0.00720425677540417",18
"Lab_I","0.0069851330550472",19
"Lab_A","0.00684883555632909",20
"Lab_L","0.00572782964122456",21
