"var","imp","rank"
"Vital_E","0.156049376527682",1
"Age","0.150509251210741",2
"Lab_H","0.141628261000028",3
"Lab_K","0.105999302662679",4
"Lab_B","0.0895007966603537",5
"Vital_A","0.0637325873357704",6
"Lab_G","0.0306686456051127",7
"Vital_B","0.0240582483697398",8
"Vital_C","0.0218061924271144",9
"Lab_M","0.0197020253150663",10
"Lab_C","0.0179593986252427",11
"Lab_J","0.0130651850639901",12
"Lab_F","0.0113183924406743",13
"Vital_D","0.0101448884388768",14
"Lab_I","0.00808280067029363",15
"Vital_F","0.00702468053552396",16
"Vital_G","0.00680540591448167",17
"Lab_A","0.00608132612317473",18
"Lab_L","0.00550693722876365",19
"Lab_E","0.00512510005482776",20
"Lab_D","0.00497945708017125",21
