AUC, CI, Site, Model
0.6816, 0.6219-0.7413, Site1, 1
0.6714, 0.6189-0.7238, Site2, 1
0.6823, 0.6125-0.752, Site1, 2
0.654, 0.5941-0.7138, Site2, 2
0.6901, 0.618-0.7622, Site1, 3
0.6633, 0.6028-0.7237, Site2, 3
0.6605, 0.585-0.7359, Site1, 4
0.6576, 0.5964-0.7189, Site2, 4
0.6852, 0.6114-0.759, Site1, 5
0.6697, 0.6094-0.7301, Site2, 5
0.649, 0.5733-0.7248, Site1, 6
0.6763, 0.616-0.7367, Site2, 6
0.7082, 0.6369-0.7794, Site1, 7
0.701, 0.6423-0.7598, Site2, 7
0.6979, 0.6258-0.77, Site1, 8
0.7047, 0.6464-0.763, Site2, 8
0.6964, 0.6243-0.7685, Site1, 9
0.717, 0.6597-0.7742, Site2, 9
